registeredid,classid,studentid,paid,complete,lettergrade,numbergrade
2273bc5a-e460-11e9-8080-2ff458595cbd,90089d68-e45f-11e9-a417-8f0ee143faa6,b3695376-e3e0-11e9-9c83-d7c841bb1133,t,f,,
227590e8-e460-11e9-8081-870edc25911b,90093994-e45f-11e9-a418-277eafb6accd,b36a16b2-e3e0-11e9-9c84-13e2004e09ae,t,f,,
22762d14-e460-11e9-8082-2f85ea582af2,90093995-e45f-11e9-a419-f3f4e55cb6cc,b36a3e26-e3e0-11e9-9c85-bf0fa99a3aa4,t,f,,
2276c936-e460-11e9-8083-c77a0fc7985e,90093996-e45f-11e9-a41a-871bac9135bd,b36a652c-e3e0-11e9-9c86-37f966a6f4e3,t,f,,
22776576-e460-11e9-8084-c3dde85bb260,90093997-e45f-11e9-a41b-3bdfdfea6e65,b36a8bce-e3e0-11e9-9c87-f777411ee5b1,t,f,,
227801ac-e460-11e9-8085-273b774f476f,9009d5c0-e45f-11e9-a41c-db4a3b963bb1,b36ab2d4-e3e0-11e9-9c88-9b232e8539bc,t,f,,
22789dd8-e460-11e9-8086-b7f312c1b63b,9009d5c1-e45f-11e9-a41d-a30730b0f040,b36ada48-e3e0-11e9-9c89-2b8d09bb9bb7,t,f,,
22793a18-e460-11e9-8087-07d7da88f7b8,9009d5c2-e45f-11e9-a41e-0314291e829e,b36b014e-e3e0-11e9-9c8a-a733eca15121,t,f,,
2279d644-e460-11e9-8088-67288254abc6,9009d5c3-e45f-11e9-a41f-73b3f3135e9a,b36b285e-e3e0-11e9-9c8b-1382f506412a,t,f,,
227a7270-e460-11e9-8089-638c466cbef2,900a71f6-e45f-11e9-a420-dfe2e6c55063,b36b285f-e3e0-11e9-9c8c-8f4f1cf91b41,t,f,,
227baafa-e460-11e9-808a-5b27a6c9b556,900a71f7-e45f-11e9-a421-5f7b3ca3394c,b36b4f0a-e3e0-11e9-9c8d-7b6a55bd5351,t,f,,
227c4730-e460-11e9-808b-4b67206b934a,900a71f8-e45f-11e9-a422-47b62716d839,b36b766a-e3e0-11e9-9c8e-a746a85dddde,f,f,,
227ce370-e460-11e9-808c-e7dc6ea58a7f,900a71f9-e45f-11e9-a423-076829a9ba04,b36b9d7a-e3e0-11e9-9c8f-d752c1a92162,f,f,,
227d7f92-e460-11e9-808d-3baf84f7acc3,900a71fa-e45f-11e9-a424-5bd1e3fdbe73,b36bc480-e3e0-11e9-9c90-ef9331d385cb,f,f,,
227e1bd2-e460-11e9-808e-f3ab07ac627e,900b0e2c-e45f-11e9-a425-dfe22ff498cb,b36beb90-e3e0-11e9-9c91-77d3c4e2c799,t,f,,
227eb808-e460-11e9-808f-1311d779e760,900b0e2d-e45f-11e9-a426-93cd17ea29ca,b36c1296-e3e0-11e9-9c92-33b172d64e64,t,f,,
227f543e-e460-11e9-8090-e3b84f022166,900b0e2e-e45f-11e9-a427-dbe0d432b2fe,b36c1297-e3e0-11e9-9c93-bfd9e95f8de7,t,f,,
227ff07e-e460-11e9-8091-cfe5c30bf439,900b0e2f-e45f-11e9-a428-abef5ef2ad96,b36c399c-e3e0-11e9-9c94-b7911eff49a2,f,f,,
22808cb4-e460-11e9-8092-f711e92307c7,900baa62-e45f-11e9-a429-8fe45bee361d,b36c60ac-e3e0-11e9-9c95-37bd97022481,t,f,,
2281c53e-e460-11e9-8093-dbf715e78559,900baa63-e45f-11e9-a42a-bf6b8931b2fa,b36c87b2-e3e0-11e9-9c96-e7ec5a1b9cdb,f,f,,
2282617e-e460-11e9-8094-27c1b1a9595c,900baa64-e45f-11e9-a42b-1f2bf00aef83,b36caec2-e3e0-11e9-9c97-dfe6a01e968f,t,f,,
